ANAESTHESIOLOGY,1067,"MINITRACHEOSTOMY",300
ANAESTHESIOLOGY,1068,"PERCUTANEOUS TRACHEOSTOMY (DISPOSABLES EXTRA)",1000
ANAESTHESIOLOGY,1069,"DISPOSABLE VENTILLATORY TUBINGS",1000
ANAESTHESIOLOGY,1070,"PCA PUMPS",300
ANAESTHESIOLOGY,1071,"OBSERVATION IN RICU",300
ANAESTHESIOLOGY,1072,"PAIN CLINIC: TENS PER HOUR",100
ANAESTHESIOLOGY,1073,"NERVE BLOCKS",100
ANAESTHESIOLOGY,1074,"SPINAL STEROIDS",700
ANAESTHESIOLOGY,1075,"INVESTIGATIVE PROCEDURES UNDER GA",1000
ANAESTHESIOLOGY,1076,"BRONCHOGRAMS/BRONCHOSCOPY",1000
ANAESTHESIOLOGY,1077,"MYELOGRAM",500
ANAESTHESIOLOGY,1078,"M.R.I. ANAESTHESIA CHARGES",1000
ANAESTHESIOLOGY,1079,"VENTILATOR CHARGES PER DAY (SIMPLE VENTILATOR",600
ANAESTHESIOLOGY,1080,"VENTILATOR CHARGES PER DAY (SOPHISTICATED VEN",1000
ANAESTHESIOLOGY,1081,"CT SCAN ANAESTHESIA CHARGES",750
ANAESTHESIOLOGY,1082,"C.CATH(SCLEROTHERAPY) AND STAND BY CATH",700
ANAESTHESIOLOGY,1083,"CENTRAL VENOUS CATHETERIZATION",500
ANAESTHESIOLOGY,1084,"RESUSCITATION",500
ANAESTHESIOLOGY,1085,"ARTERIAL BLOOD GAS (ABG)",125
ANAESTHESIOLOGY,1086,"SERUM ELECTROLYTES",100
ANAESTHESIOLOGY,1087,"ANAESTHESIA CONSULTATION",150
ANAESTHESIOLOGY,1088,"ANAESTHESIA FOR OP CASES (15 MINUTES)",400
ANAESTHESIOLOGY,1089,"SPINAL ANAESTHESIA",1000
ANAESTHESIOLOGY,1090,"ANAESTHESIA FOR MINOR CASES (30 MINUTES)",900
ANAESTHESIOLOGY,1091,"REGIONAL ANAESTH.FOR MAJOR SURG.PROC.EPIDURAL",2000
ANAESTHESIOLOGY,1092,"ANAESTHESIA FOR RADIATION ONCOLOGY (5 SITTING",750
ANAESTHESIOLOGY,1093,"ANAESTHESIA FOR RADIATION ONCOLOGY (10 SITTIN",1500
ANAESTHESIOLOGY,1094,"ANAESTH. FOR MAJOR SURG. WITH ENDOTRACHIAL TU",2750
ANAESTHESIOLOGY,1095,"GEN. ANAES. FOR MAJOR SURG.WITH INVASIVE MONI",4000
ANAESTHESIOLOGY,1096,"ANAESTHESIA FOR OHS(ASD, VSD)",1000
ANAESTHESIOLOGY,1097,"ANAESTHESIA FOR OPERN HEART SURGERY (VALVES &",8000
ANAESTHESIOLOGY,1098,"FIBER OPTIC BRONCHOSCOPY FOR DIFFICULTY INTUB",500
ANAESTHESIOLOGY,1099,"RESPIRATORY THERAPY",50
ANAESTHESIOLOGY,1100,"MONITORED ANAESTHESIA CARE",600
ANAESTHESIOLOGY,LPTAN,"LIPID FREE PROPOFOL TRIAL",2310
ANAESTHESIOLOGY,LPTAN2,"SAFETY OF PROPOFOL LIPID-FREE STUDY",2380
ANAESTHESIOLOGY,MR03,"ANAESTHESIA CHARGES",500
BLOOD BANK,751A,"BLOOD GROUPING",60
BLOOD BANK,752A,"DIRECT COOMB'S TEST",90
BLOOD BANK,753A,"INDIRECT COOMB'S TEST",90
BLOOD BANK,754A,"ANTIBODY TITRE",200
BLOOD BANK,755A,"BLOOD RESERVATION",75
BLOOD BANK,756A,"1 UNIT OF BLOOD",600
